ID,SMILES,act_mean,Type
CHEMBL103107,O=C(O)c1cn(C(F)F)c2nc(N3CCNCC3)c(F)cc2c1=O,6.25,1
CHEMBL103267,CC(=O)NCC1CC(c2cc(F)c(N3CCOCC3)c(Cl)c2)=NO1,8,1
CHEMBL103309,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NCCN)nc21,25,1
CHEMBL103311,CC(=O)NC[C@H]1CC(c2ccc(-n3cccc3)c(F)c2)=NO1,2,1
CHEMBL103350,CCn1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCN(C)CC3)nc21,12.5,1
CHEMBL103535,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCSCC3)nc21,1.56,1
CHEMBL103603,CC(=O)NCC1CC(c2ccc(N3CCN(C(=O)CO)CC3)cc2)=NO1,12,1
CHEMBL103668,CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,0.78,1
CHEMBL103693,CC(=O)NC[C@H]1CC(c2ccc(-n3cncn3)c(F)c2)=NO1,16,1
CHEMBL103758,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCCCCC3)nc21,12.5,1
CHEMBL103795,CC(=O)NCC1CC(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)=NO1,8,1
CHEMBL103868,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C=O)CC3)nc21,3.13,1
CHEMBL103899,CC(=O)NC[C@H]1CC(c2cc(F)c(N3CCN(C(=O)CO)CC3)c(F)c2)=NO1,1.5,1
CHEMBL103958,CC(=O)NCC1CC(c2cc(F)c(N3CCOCC3)c(F)c2)=NO1,8,1
CHEMBL103982,CN1CCN(c2nc3ccccc3o2)CC1,150,0
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,512,0
CHEMBL104068,Oc1nc2nonc2nc1-c1ccccc1,128,0
CHEMBL104168,C/C(S)=N/C[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc5c(c4)OCO5)CC3)c(F)c2)C(=O)O1,0.875,1
CHEMBL104391,O=[N+]([O-])c1cccc(-c2nc3nonc3nc2O)c1,32,1
CHEMBL104480,CC1(C)C=C(C(=O)O)C(=O)c2ccccc21,6.25,1
CHEMBL104517,COc1ccc(/C=C/C(=O)N2CCN(c3ccc(N4C[C@H](CNC(C)=O)OC4=O)cc3F)CC2)cc1,4,1
CHEMBL104587,Oc1nc2nonc2nc1-c1cccc(Br)c1,32,1
CHEMBL104603,CSc1ccc(/C=C/C(=O)N2CCN(c3ccc(N4C[C@H](CNC(C)=O)OC4=O)cc3F)CC2)cc1,16,1
CHEMBL104604,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc([N+](=O)[O-])cc4)CC3)c(F)c2)C(=O)O1,4,1
CHEMBL104668,Oc1nc2nonc2nc1-c1ccc(Br)cc1,16,1
CHEMBL104782,Oc1nc2nonc2nc1-c1ccc(Cl)cc1,16,1
CHEMBL104810,Cc1c(N2CCC(CN)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.196,1
CHEMBL104960,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(C(N)=O)C3)c(F)c2)C(=O)O1,1.666667,1
CHEMBL104965,CCN1CCN(C(=O)NCC2CC(SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)CO2)C(=O)C1=O,16.25,1
CHEMBL105028,COC(=O)c1cc(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)no1,6,1
CHEMBL105103,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(CN(C)C)C3)c(F)c2)C(=O)O1,6,1
CHEMBL105127,Cc1c(N2C[C@@H]3CCN[C@@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,1.17,1
CHEMBL105128,COc1ccc(-c2ccc(C3=NOC(CNC(C)=O)C3)cc2)ccc1=O,4,1
CHEMBL105143,COCCNC(=O)C1CC(c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)=NO1,10.666667,1
CHEMBL105155,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(c4ccncc4)C3)c(F)c2)C(=O)O1,3,1
CHEMBL105156,CCCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)CC1,1.56,1
CHEMBL105186,Cc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12,0.4,1
CHEMBL105290,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(C(=O)N4CCOCC4)C3)c(F)c2)C(=O)O1,8,1
CHEMBL105496,COc1ccc(/C=C/C(=O)c2ccccc2)cc1,500,0
CHEMBL105505,CCN1CCN(C(=O)NC[C@H]2OCC[C@H]2SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)C(=O)C1=O,8,1
CHEMBL105564,CN(CC(=O)O)NC(=O)C[C@H](N)CCCN,64,0
CHEMBL105643,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(C#N)C3)c(F)c2)C(=O)O1,1.333333,1
CHEMBL105737,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3COC(C/N=C/N(C)C)C3)[C@H](C)[C@H]12,8.06,1
CHEMBL10575,C=C1C(=O)c2ccccc2OC1c1ccc(N(C)C)cc1,50,0
CHEMBL10576,C=C1C(=O)c2ccccc2OC1c1ccc(OC)cc1,12.5,1
CHEMBL105969,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc(O)c(O)c4)CC3)c(F)c2)C(=O)O1,12,1
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16,1
CHEMBL106223,C[C@@H](N)C(=O)NC[C@H]1OCC[C@H]1SC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2[C@H]1C,8,1
CHEMBL106382,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CCO[C@@H]3C/N=C\N)[C@H](C)[C@H]12,4,1
CHEMBL106400,Oc1nc2nonc2nc1-c1ccc(C(F)(F)F)cc1,32,1
CHEMBL106544,CC(=O)NC[C@H]1CN(c2ccc(C3=NOC(c4ccccn4)C3)c(F)c2)C(=O)O1,2.666667,1
CHEMBL106587,COc1ccc(-c2nc3nonc3nc2O)cc1,64,0
CHEMBL106637,Oc1nc2nonc2nc1-c1cccc(F)c1,64,0
CHEMBL106638,CC1(C)C=C(C(=O)O)C(=O)c2cc3c(cc21)OCO3,500,0
